"player_id";"Nombre";"Temporada";"Equipo";"Puntos_por_Partido";"Rebotes_por_Partido";"Asistencias_por_Partido";"Tapones_por_Partido";"Robos_por_Partido";"Porcentaje_Tiros_Campo"
1;"Kareem Abdul-Jabbar";"1971-72";"Milwaukee Bucks";34.8;16.6;4.6;3.5;1.2;57.4
2;"Wilt Chamberlain";"1961-62";"Philadelphia Warriors";50.4;25.7;2.4;0.0;0.0;50.6
3;"Shaquille O'Neal";"1999-00";"Los Angeles Lakers";29.7;13.6;3.8;3.0;0.5;57.4
4;"Hakeem Olajuwon";"1993-94";"Houston Rockets";27.3;11.9;3.6;3.7;1.6;52.8
5;"Jusuf Nurkic";"2018-19";"Portland Trail Blazers";15.6;10.4;3.2;1.4;1.0;50.8
6;"Nikola Vucevic";"2018-19";"Orlando Magic";20.8;12.0;3.8;1.1;1.0;51.8
7;"Jonas Valanciunas";"2021-22";"New Orleans Pelicans";17.8;11.4;2.6;0.8;0.6;54.4
8;"Bill Russell";"1961-62";"Boston Celtics";18.9;23.6;4.5;0.0;0.0;45.7
9;"Myles Turner";"2020-21";"Indiana Pacers";12.6;6.5;1.0;3.4;0.9;47.7
10;"Giannis Antetokounmpo";"2022-23";"Milwaukee Bucks";31.1;11.8;5.7;0.8;0.9;55.3
11;"Anthony Davis";"2017-18";"New Orleans Pelicans";28.1;11.1;2.3;2.6;1.5;53.4
12;"Tim Duncan";"2001-02";"San Antonio Spurs";25.5;12.7;3.7;2.5;0.7;50.8
13;"Dwight Howard";"2010-11";"Orlando Magic";22.9;14.1;1.4;2.4;1.4;59.3
14;"Al Horford";"2012-13";"Atlanta Hawks";17.4;10.2;3.2;1.1;1.1;54.3
15;"Pau Gasol";"2006-07";"Memphis Grizzlies";20.8;9.8;3.4;2.1;0.5;53.8
16;"Marc Gasol";"2016-17";"Memphis Grizzlies";19.5;6.3;4.6;1.3;0.9;45.9
17;"Nikola Jokic";"2022-23";"Denver Nuggets";24.5;11.8;9.8;0.7;1.3;63.2
18;"Joel Embiid";"2021-22";"Philadelphia 76ers";30.6;11.7;4.2;1.5;1.1;49.9
19;"Bam Adebayo";"2022-23";"Miami Heat";20.4;9.2;3.2;0.8;1.2;54.0
20;"Domantas Sabonis";"2022-23";"Sacramento Kings";19.1;12.3;7.3;0.5;0.8;61.5
21;"Kristaps Porzingis";"2017-18";"New York Knicks";22.7;6.6;1.2;2.4;0.8;43.9
22;"Rudy Gobert";"2019-20";"Utah Jazz";15.1;13.5;1.5;2.0;0.7;69.3
23;"Jarrett Allen";"2021-22";"Cleveland Cavaliers";16.1;10.8;1.6;1.3;0.8;67.7
24;"Deandre Ayton";"2020-21";"Phoenix Suns";14.4;10.5;1.4;1.2;0.6;62.6
25;"Kevon Looney";"2022-23";"Golden State Warriors";7.0;9.3;2.5;0.6;0.6;63.0
26;"Jakob Poeltl";"2021-22";"San Antonio Spurs";13.5;9.3;2.8;1.7;0.7;61.2
27;"Clint Capela";"2020-21";"Atlanta Hawks";15.2;14.3;0.8;2.0;0.7;59.4
28;"Alperen Sengun";"2022-23";"Houston Rockets";15.6;8.8;3.9;0.9;0.9;55.3
29;"Daniel Gafford";"2020-21";"Washington Wizards";10.1;5.6;0.8;1.8;0.5;68.1
30;"Pascal Siakam";"2022-23";"Toronto Raptors";24.2;7.8;5.8;0.5;0.9;48.0
31;"Kevin Garnett";"2003-04";"Minnesota Timberwolves";24.2;13.9;5.0;2.2;1.5;49.9
32;"Dirk Nowitzki";"2005-06";"Dallas Mavericks";26.6;9.0;2.8;1.0;0.7;48.0
33;"Karl Malone";"1989-90";"Utah Jazz";31.0;11.1;2.8;0.6;1.5;56.2
34;"Charles Barkley";"1987-88";"Philadelphia 76ers";28.3;11.9;3.2;1.3;1.3;58.7
35;"Dennis Rodman";"1991-92";"Detroit Pistons";9.8;18.7;2.3;0.9;0.8;53.9
